name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Whirlpool,4.2,(1.3k Reviews),Public,Michigan + 119 more,112 years old,1k-5k Employees (India)
Sterlite Technol...,4.2,(1.3k Reviews),Public,"Pune,Maharashtra + 56 more",35 years old,1k-5k Employees (India)
Myntra,4.2,(1.4k Reviews),Private,"Bangalore,Karnataka + 86 more",16 years old,1k-5k Employees (India)
Bharti AXA Life ...,3.9,(1.3k Reviews),Private,Mumbai + 206 more,17 years old,5k-10k Employees (India)
XpressBees,4.0,(1.3k Reviews),Private,"Pune,Maharashtra + 180 more",8 years old,1k-5k Employees (India)
Indian Navy,4.7,(1.3k Reviews),Private,"Delhi/NCR,Delhi + 55 more",73 years old,50k-1 Lakh Employees (India)
café Coffee day,4.1,(1.3k Reviews),Private,"Bengaluru,Karnataka + 80 more",27 years old,10k-50k Employees (India)
Big Bazaar,4.2,(1.3k Reviews),Private,"Mumbai,Maharashtra + 148 more",22 years old,10k-50k Employees (India)
Delphi TVS,4.0,(1.2k Reviews),Private,"Kanchipuram,Tamil Nadu + 25 more",34 years old,1k-5k Employees (India)
Exide Life Insur...,3.7,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 183 more",22 years old,1k-5k Employees (India)
Johnson Controls,3.9,(2.1k Reviews),Public,Cork + 41 more,28 years old,5k-10k Employees (India)
Kansai Nerolac P...,3.9,(1.2k Reviews),Public,"Mumbai,Maharashtra + 125 more",103 years old,1k-5k Employees (India)
SRF,4.3,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 38 more",53 years old,1k-5k Employees (India)
Tata Motors Fina...,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 202 more",66 years old,1k-5k Employees (India)
BT Group,4.2,(2.6k Reviews),Private,London + 14 more,177 years old,10k-50k Employees (India)
NIIT Technologie...,3.5,(1.2k Reviews),Public,"Noida,Uttar Pradesh + 70 more",19 years old,5k-10k Employees (India)
ICICI Securities,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 108 more",28 years old,5k-10k Employees (India)
Zomato,3.8,(1.3k Reviews),Public,"Gurgaon,Haryana + 149 more",15 years old,10k-50k Employees (India)
Honda,4.2,(4.5k Reviews),Private,"Greater Noida,Uttar Pradesh + 180 more",38 years old,10k-50k Employees (India)
Cromā,4.3,(1.2k Reviews),Private,"Mumbai,Maharashtra + 94 more",17 years old,1k-5k Employees (India)
3i Infotech,3.6,(1.3k Reviews),Public,"Mumbai,Maharashtra + 83 more",30 years old,5k-10k Employees (India)
Cybage,4.0,(1.2k Reviews),Private,"Pune,Maharashtra + 6 more",28 years old,5k-10k Employees (India)
Sobha,4.0,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 32 more",28 years old,1k-5k Employees (India)
Bharat Petroleum,4.1,(1.2k Reviews),Private,"Mumbai,Maharashtra + 185 more",71 years old,50k-1 Lakh Employees (India)
Endurance Techno...,3.8,(1.2k Reviews),Public,"Aurangabad,Maharashtra + 31 more",38 years old,1k-5k Employees (India)
JK Tyres,3.9,(1.2k Reviews),Private,New Delhi + 107 more,72 years old,1k-5k Employees (India)
Square Yards,3.2,(1.2k Reviews),Private,"Gurgaon,Haryana + 37 more",10 years old,1k-5k Employees (India)
Lodha group,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 18 more",43 years old,1k-5k Employees (India)
Blinkit,3.8,(1.2k Reviews),Private,"Gurgaon,Haryana + 53 more",10 years old,5k-10k Employees (India)
Coforge,3.7,(1.2k Reviews),Public,"Noida,Uttar Pradesh + 24 more",19 years old,10k-50k Employees (India)
Shell,4.4,(1.3k Reviews),Public,"London,England + 73 more",19 years old,10k-50k Employees (India)
Thomson Reuters,4.2,(1.3k Reviews),Private,Toronto + 19 more,15 years old,1k-5k Employees (India)
Future Generali ...,3.9,(1.2k Reviews),Private,Mumbai + 144 more,16 years old,1k-5k Employees (India)
GE,4.3,(3.3k Reviews),Private,"Boston,Massachusetts + 56 more",131 years old,1k-5k Employees (India)
JCB,4.1,(1.2k Reviews),Private,"Rocester,Staffordshire + 71 more",78 years old,1k-5k Employees (India)
Saint-Gobain,4.1,(1.6k Reviews),Private,Paris + 74 more,358 years old,10k-50k Employees (India)
Indiabulls,3.8,(3.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 142 more",23 years old,10k-50k Employees (India)
Gabriel India,4.2,(1.2k Reviews),Public,"Pune,Maharashtra + 31 more",62 years old,1k-5k Employees (India)
Bhushan Power & ...,4.0,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 47 more",53 years old,5k-10k Employees (India)
Kalpataru Power ...,4.2,(2.8k Reviews),Public,"Mumbai,Maharashtra + 156 more",42 years old,1k-5k Employees (India)
Barclays,4.2,(2.9k Reviews),Private,London + 24 more,333 years old,10k-50k Employees (India)
GVK Emergency Ma...,3.8,(1.2k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 112 more",18 years old,10k-50k Employees (India)
Lucas-TVS,4.0,(1.5k Reviews),Private,"Chennai,Tamil Nadu + 48 more",62 years old,1k-5k Employees (India)
Info Edge,4.1,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 52 more",28 years old,1k-5k Employees (India)
CSS Corp,3.7,(1.2k Reviews),Private,"San Jose,California + 21 more",27 years old,5k-10k Employees (India)
Cadila Pharmaceu...,3.7,(1.2k Reviews),Public,"Ahmedabad,Gujrat + 93 more",72 years old,5k-10k Employees (India)
Coromandel Inter...,4.1,(1.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 129 more",62 years old,5k-10k Employees (India)
Wockhardt,4.0,(1.6k Reviews),Public,"Mumbai,Maharashtra + 66 more",24 years old,5k-10k Employees (India)
Power Mech Proje...,3.8,(1.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 92 more",16 years old,1k-5k Employees (India)
Sopra Steria,4.2,(1.3k Reviews),Private,"Paris,Ile-de-France + 9 more",55 years old,5k-10k Employees (India)
Bureau Veritas,4.0,(1.2k Reviews),Private,"Paris La Défense,Hauts-de-Seine + 75 more",195 years old,1k-5k Employees (India)
Parle Products,4.0,(1.2k Reviews),Private,Mumbai + 152 more,94 years old,50k-1 Lakh Employees (India)
Syngene Internat...,3.9,(1.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",30 years old,1k-5k Employees (India)
AXA Business Ser...,3.8,(1.1k Reviews),Private,"Paris,France + 5 more",77 years old,1k-5k Employees (India)
Ninjacart,3.8,(1.1k Reviews),Private,"Bangalore,Karnataka + 80 more",8 years old,1k-5k Employees (India)
Tata Capital Fin...,4.3,(1.1k Reviews),Public,Mumbai + 126 more,16 years old,1k-5k Employees (India)
